               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  74,              1.1793,              1.2564,              1.3723,             0.68529,             0.59328,             0.64273,             0.48018,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.1808,              1.2526,              1.3714,             0.68813,             0.59185,             0.64265,             0.48011,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.1772,              1.2429,               1.371,             0.69117,             0.59008,             0.64288,             0.48001,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,               1.176,                1.24,              1.3706,             0.68882,               0.591,             0.64281,             0.48006,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,               1.168,              1.2299,              1.3653,             0.69686,             0.58695,              0.6431,              0.4804,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.1666,              1.2211,               1.362,             0.69372,             0.58929,              0.6436,             0.48057,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,               1.165,              1.2133,                1.36,             0.69427,             0.59067,              0.6437,             0.48072,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.1588,              1.2072,              1.3589,             0.69425,             0.59018,             0.64399,             0.48097,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.1568,                 1.2,              1.3559,             0.69313,             0.58988,             0.64408,             0.48143,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.1517,              1.1962,              1.3549,             0.69365,              0.5901,             0.64444,             0.48169,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.1513,               1.184,              1.3509,             0.68778,              0.5942,             0.64468,              0.4818,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.1486,              1.1791,              1.3502,             0.68661,             0.59588,             0.64462,             0.48211,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.1411,              1.1686,              1.3458,             0.68483,               0.597,             0.64471,             0.48264,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.1404,              1.1626,              1.3437,             0.69128,             0.59294,             0.64516,             0.48312,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.1376,              1.1562,              1.3422,             0.69371,             0.59289,             0.64524,             0.48316,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.1348,              1.1509,              1.3449,             0.69216,             0.59353,             0.64539,              0.4831,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.1293,              1.1409,              1.3385,             0.69539,             0.59242,             0.64563,             0.48309,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.1325,              1.1332,              1.3377,             0.69107,              0.5948,             0.64584,             0.48316,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,               1.123,              1.1226,              1.3351,             0.68955,             0.59561,             0.64565,             0.48338,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.1191,              1.1171,              1.3326,                0.69,             0.59568,             0.64583,             0.48351,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.1188,              1.1098,              1.3321,             0.68987,             0.59657,             0.64606,             0.48362,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.1104,              1.0974,              1.3268,             0.68962,             0.59716,             0.64629,              0.4837,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.1116,              1.0924,              1.3267,             0.69277,             0.59602,             0.64644,             0.48373,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.1085,              1.0906,              1.3289,             0.68698,             0.59901,             0.64652,              0.4836,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.1056,              1.0846,              1.3243,             0.68451,             0.59765,             0.64647,              0.4835,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.1044,              1.0795,               1.323,             0.68382,             0.59745,             0.64644,             0.48358,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
